               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.026045,           0.0077165,            0.012749,             0.96577,             0.97974,             0.99338,             0.75118,            0.015436,           0.0039295,           0.0041045,           0.0076834,           0.0076834,           0.0076834
                 119,              0.0283,           0.0078751,           0.0095236,             0.97421,             0.97923,             0.99431,             0.80358,            0.015427,           0.0041375,           0.0067881,           0.0076636,           0.0076636,           0.0076636
                 120,             0.02586,           0.0085935,           0.0095312,             0.97916,             0.96623,             0.99366,             0.73365,            0.013608,           0.0040125,           0.0074837,           0.0076438,           0.0076438,           0.0076438
                 121,            0.023429,           0.0076506,           0.0099883,             0.95225,             0.96701,             0.99193,             0.66305,             0.01982,           0.0043919,            0.008487,            0.007624,            0.007624,            0.007624
                 122,            0.026792,           0.0076713,             0.01276,             0.96778,             0.96388,             0.99286,             0.71135,            0.013354,           0.0039575,           0.0072269,           0.0076042,           0.0076042,           0.0076042
                 123,            0.024538,           0.0085174,            0.009574,             0.95344,             0.99298,             0.99395,             0.73776,            0.015161,           0.0040739,           0.0043735,           0.0075844,           0.0075844,           0.0075844
                 124,            0.025045,           0.0088046,            0.010565,              0.9752,             0.98913,             0.99395,             0.83809,            0.012235,            0.003969,           0.0035309,           0.0075646,           0.0075646,           0.0075646
                 125,            0.024357,           0.0088013,            0.012434,             0.94865,             0.99873,             0.98926,             0.73492,            0.014243,           0.0044687,           0.0039563,           0.0075448,           0.0075448,           0.0075448
                 126,            0.024023,           0.0078934,           0.0085563,             0.94242,                   1,             0.98524,             0.73127,            0.014861,           0.0042507,           0.0046998,            0.007525,            0.007525,            0.007525
                 127,            0.023469,            0.008267,           0.0075139,             0.95996,             0.96494,             0.97531,             0.80103,            0.015495,           0.0041645,            0.005399,           0.0075052,           0.0075052,           0.0075052
                 128,            0.025211,           0.0087424,            0.012026,             0.96812,             0.97141,             0.98048,             0.77773,            0.014447,            0.003964,           0.0046206,           0.0074854,           0.0074854,           0.0074854
                 129,            0.025304,            0.007459,            0.010645,             0.96029,             0.99975,             0.99393,             0.80094,            0.015111,           0.0039484,           0.0034806,           0.0074656,           0.0074656,           0.0074656
                 130,            0.022714,           0.0085645,           0.0095005,             0.97346,             0.98861,             0.99248,             0.80157,            0.013291,           0.0037868,            0.003147,           0.0074458,           0.0074458,           0.0074458
                 131,            0.025749,           0.0075857,           0.0098211,             0.98911,             0.98913,             0.99458,             0.83269,            0.013252,           0.0038631,           0.0029149,            0.007426,            0.007426,            0.007426
                 132,            0.026212,           0.0079275,            0.010803,             0.98316,             0.99911,               0.995,             0.83233,            0.011129,           0.0038249,           0.0027758,           0.0074062,           0.0074062,           0.0074062
                 133,            0.022228,           0.0073004,            0.009663,             0.97328,             0.98913,             0.99439,             0.73682,            0.016214,            0.004124,           0.0023649,           0.0073864,           0.0073864,           0.0073864
                 134,             0.02384,           0.0083689,           0.0084074,             0.99685,             0.99945,               0.995,             0.80942,            0.012887,           0.0039603,           0.0023758,           0.0073666,           0.0073666,           0.0073666
                 135,             0.02271,           0.0076997,            0.008316,             0.98801,              0.9915,             0.99436,             0.79121,            0.016674,           0.0040979,           0.0026956,           0.0073468,           0.0073468,           0.0073468
                 136,            0.024012,           0.0085223,           0.0070165,             0.98325,              0.9915,             0.99319,             0.82307,            0.012154,           0.0038587,           0.0035186,            0.007327,            0.007327,            0.007327
                 137,            0.024125,           0.0082338,            0.010316,             0.98219,             0.97661,             0.99319,             0.73178,             0.01716,           0.0042076,             0.00531,           0.0073072,           0.0073072,           0.0073072
                 138,             0.02551,            0.007645,           0.0094822,             0.97793,             0.97466,             0.99138,              0.7533,            0.014419,           0.0039803,            0.006513,           0.0072874,           0.0072874,           0.0072874
                 139,            0.025433,           0.0080723,           0.0075795,             0.96057,             0.98985,             0.99154,             0.81765,            0.013567,           0.0040585,           0.0074097,           0.0072676,           0.0072676,           0.0072676
                 140,            0.023317,           0.0076216,            0.010311,             0.96103,             0.99057,             0.99437,             0.82573,            0.013537,           0.0040148,           0.0073376,           0.0072478,           0.0072478,           0.0072478
                 141,            0.023301,           0.0085077,            0.010072,             0.97448,             0.98218,               0.995,              0.8064,            0.012198,           0.0037287,           0.0073685,            0.007228,            0.007228,            0.007228
                 142,            0.023892,           0.0079174,            0.011748,             0.98724,             0.98236,               0.995,               0.819,            0.014238,           0.0040242,           0.0062523,           0.0072082,           0.0072082,           0.0072082
